UA,mun,uf,lon_pc,lat_pc,Biomassa_Mg_ha,bio_Mg_ha_10,bio_Mg_ha_5,n_arvores_total,n_arvores_10,n_arvores_5,n_subunidades,n_subparcelas_5,area_ha_10,area_ha_5,dap_medio_10,ht_media_10,flag_subunidades_incompletas,flag_poucas_arvores,flag_biomassa_extrema
GO_425,Goiás,Goiás,-50.0399999999,-16.0199999999,37.939393133990414,34.08248561775181,3.856907516238607,22.0,20,2.0,3,1.0,0.3,0.01,27.635624910432785,11.315000000000001,True,False,False
GO_426,Itaberaí,Goiás,-49.8599999999,-16.0199999999,6.191512405208561,6.191512405208561,0.0,1.0,1,0.0,1,0.0,0.1,0.0,48.5,7.8,True,True,False
GO_427,Itaberaí,Goiás,-49.6799999999,-16.0199999999,30.171844736135863,30.171844736135863,0.0,1.0,1,0.0,1,0.0,0.1,0.0,80.12196465573561,19.4,True,True,False
GO_429,Petrolina de Goiás,Goiás,-49.3199999999,-16.0199999999,32.59949594470298,32.016737159169885,0.5827587855330981,21.0,20,1.0,3,1.0,0.3,0.01,27.14102433639315,9.0,True,False,False
GO_43,Monte Alegre de Goiás,Goiás,-46.9799999999,-13.3199999999,15.714826239835478,10.42871896725019,5.286107272585288,79.0,40,39.0,4,7.0,0.4,0.07,15.418252654258874,7.790000000000001,False,False,False
GO_430,Pirenópolis,Goiás,-49.1399999999,-16.0199999999,24.228660696314652,22.863894700803097,1.3647659955115559,13.0,12,1.0,1,1.0,0.1,0.01,20.215416437924436,9.308333333333334,True,False,False
GO_431,Pirenópolis,Goiás,-48.9599999999,-16.0199999999,52.145171009976416,49.85259100802335,2.292580001953063,23.0,18,5.0,1,2.0,0.1,0.02,22.20498102326659,11.694444444444445,True,False,False
GO_432,Corumbá de Goiás,Goiás,-48.7799999999,-16.0199999999,40.75338898133577,34.36785157568808,6.38553740564769,51.0,44,7.0,3,2.0,0.3,0.02,18.521901381482007,13.061363636363637,True,False,False
GO_433,Alexânia,Goiás,-48.5999999999,-16.0199999999,7.082429379150275,5.165446526904591,1.9169828522456842,26.0,18,8.0,2,3.0,0.2,0.03,16.391492521282405,4.344444444444445,True,False,False
GO_435,Baliza,Goiás,-52.3799999999,-16.1999999999,35.54121281724147,23.053984145496656,12.487228671744814,83.0,32,51.0,3,4.0,0.3,0.04,17.940092285176622,8.071875,True,False,False
GO_436,Bom Jardim de Goiás,Goiás,-52.1999999999,-16.1999999999,13.571492600299107,13.571492600299107,0.0,2.0,2,0.0,1,0.0,0.1,0.0,33.45,13.85,True,True,False
GO_437,Bom Jardim de Goiás,Goiás,-52.0199999999,-16.1999999999,15.838289994079068,15.838289994079068,0.0,3.0,3,0.0,2,0.0,0.2,0.0,47.10339649579158,13.766666666666666,True,True,False
GO_438,Piranhas,Goiás,-51.8399999999,-16.1999999999,3.9137608460502404,3.9137608460502404,0.0,1.0,1,0.0,1,0.0,0.1,0.0,32.4,8.8,True,True,False
GO_440,Diorama,Goiás,-51.4799999999,-16.1999999999,11.110016497810067,11.110016497810067,0.0,1.0,1,0.0,1,0.0,0.1,0.0,53.5,9.4,True,True,False
GO_441,Diorama,Goiás,-51.2999999999,-16.1999999999,21.32099335158302,15.87035094790887,5.4506424036741485,18.0,14,4.0,2,1.0,0.2,0.01,24.392740678069575,8.235714285714286,True,False,False
GO_442,Jaupaci,Goiás,-51.1199999999,-16.1999999999,82.17184059099496,75.5798948555198,6.591945735475167,136.0,109,27.0,4,7.0,0.4,0.07,21.50879533501287,11.175229357798164,False,False,False
GO_444,Fazenda Nova,Goiás,-50.7599999999,-16.1999999999,32.49952354568098,13.584393999797598,18.91512954588338,63.0,39,24.0,4,2.0,0.4,0.02,15.905128205128204,8.799999999999999,False,False,False
GO_445,Novo Brasil,Goiás,-50.5799999999,-16.1999999999,30.652171489824735,24.939114008534606,5.713057481290129,28.0,21,7.0,2,2.0,0.2,0.02,22.25557807585241,7.723809523809523,True,False,False
GO_446,Buriti de Goiás,Goiás,-50.3999999999,-16.1999999999,17.472016961207903,11.135907938875121,6.336109022332782,6.0,2,4.0,2,1.0,0.2,0.01,39.39234213410551,10.55,True,True,False
GO_447,Mossâmedes,Goiás,-50.2199999999,-16.1999999999,30.066610833805942,25.4122865193031,4.654324314502845,53.0,48,5.0,3,2.0,0.3,0.02,16.166199286327206,12.091666666666667,True,False,False
GO_45,Divinópolis de Goiás,Goiás,-46.6199999999,-13.3199999999,1.8126629629897166,1.8126629629897166,0.0,1.0,1,0.0,1,0.0,0.1,0.0,25.2,7.0,True,True,False
GO_450,Itauçu,Goiás,-49.6799999999,-16.1999999999,14.79070000080145,13.788557401728635,1.0021425990728146,43.0,42,1.0,3,1.0,0.3,0.01,16.341090425426113,9.16904761904762,True,False,False
GO_451,Inhumas,Goiás,-49.4999999999,-16.1999999999,55.7891422081339,48.8347632050019,6.9543790031320025,63.0,52,11.0,3,3.0,0.3,0.03,19.63287331096475,12.476923076923075,True,False,False
GO_452,Petrolina de Goiás,Goiás,-49.3199999999,-16.1999999999,44.79393442996162,35.21452860166621,9.579405828295407,85.0,70,15.0,3,3.0,0.3,0.03,19.375797007688885,10.406944444444443,True,False,False
GO_454,Anápolis,Goiás,-48.9599999999,-16.1999999999,38.05080126494941,27.39485469934684,10.655946565602576,123.0,79,44.0,3,5.0,0.3,0.05,16.520298088751094,7.705063291139241,True,False,False
GO_455,Abadiânia,Goiás,-48.7799999999,-16.1999999999,3.380463333143168,3.380463333143168,0.0,6.0,6,0.0,2,0.0,0.2,0.0,21.8,7.816666666666666,True,True,False
GO_456,Abadiânia,Goiás,-48.5999999999,-16.1999999999,13.902644511901949,8.90671272607623,4.995931785825718,100.0,72,28.0,4,5.0,0.4,0.05,15.424256633969637,4.8069444444444445,False,False,False
GO_457,Alexânia,Goiás,-48.4199999999,-16.1999999999,24.820625083756703,15.379242054384594,9.44138302937211,55.0,30,25.0,4,4.0,0.4,0.04,19.976018168059813,8.013333333333334,False,False,False
GO_458,Santo Antônio do Descoberto,Goiás,-48.2399999999,-16.1999999999,3.643718651079263,1.9461281607658845,1.697590490313379,31.0,15,16.0,4,7.0,0.4,0.07,15.729509980993123,4.953333333333333,False,False,False
